feed_id,player_id,first_name,last_name,team_abbrev,pos,pos2,projected_points,points,user_team_id,picked,position
296190,112,Jack,Martin,CAR,FWD,MID,NA,0,33301,TRUE,FWD
994389,679,Jack,Sinclair,STK,FWD,MID,NA,0,NA,NA,NA
270512,294,Pearce,Hanley,GCS,DEF,NA,NA,0,NA,NA,NA
240254,295,Jarrod,Harbrow,GCS,DEF,NA,NA,0,NA,NA,NA
290073,753,Sam,Lloyd,WBD,FWD,NA,NA,0,NA,NA,NA
990827,613,Jack,Graham,RIC,MID,NA,NA,0,186,TRUE,MID
297354,550,Karl,Amon,PTA,MID,NA,NA,0,NA,NA,NA
280744,416,Luke,Breust,HAW,FWD,NA,NA,0,186,TRUE,FWD
292145,575,Tom,Jonas,PTA,DEF,NA,NA,0,NA,NA,NA
210012,417,Shaun,Burgoyne,HAW,DEF,NA,NA,0,NA,NA,NA
291327,418,Jonathon,Ceglar,HAW,RUC,FWD,NA,0,182,TRUE,FWD
290117,656,Dan,Hannebery,STK,MID,NA,NA,0,NA,NA,NA
1006130,761,Bailey,Smith,WBD,FWD,MID,NA,0,5524,TRUE,FWD
261911,565,Brad,Ebert,PTA,FWD,NA,NA,0,9856,TRUE,FWD
290550,341,Cameron,Guthrie,GEE,MID,NA,NA,0,9806,FALSE,MID
1001438,468,Bayley,Fritsch,MEL,DEF,FWD,NA,0,NA,NA,NA
993107,391,Harry,Himmelberg,GWS,FWD,NA,NA,0,NA,NA,NA
290826,782,Jamie,Cripps,WCE,FWD,NA,NA,0,NA,NA,NA
290797,749,Alex,Keath,WBD,DEF,NA,NA,0,NA,NA,NA
291962,459,Chad,Wingard,HAW,FWD,MID,NA,0,5524,TRUE,FWD
298450,231,Connor,Blakely,FRE,DEF,NA,NA,0,NA,NA,NA
