"id","first_name","last_name","team.abbrev","positions.position","positions.position.1","player_stats.avg","median_score","user_team_id","round","pick","current_team_id","DEF","MID","RUC","FWD","score"
"446","Jaeger","O'Meara","HAW","MID","",92.8571,97,"5524",12,94,"5524",,-0.606770144243519,,,-0.6068
"153","Jeremy","Howe","COL","DEF","",120.5,119,"9806",12,95,,2.40951828732585,,,,2.4095
"121","Sam","Petrevski-Seton","CAR","DEF","MID",81.875,84.5,"9867",12,96,"9867",-0.665751295573269,-1.76114853995057,,,-0.6658
"796","Jeremy","McGovern","WCE","DEF","",87,83,"9867",13,97,"9856",-0.799458668742795,,,,-0.7995
"464","Angus","Brayshaw","MEL","MID","",72.5714,71,"9806",13,98,,,-3.00787720731418,,,-3.0079
"200","Michael","Hurley","ESS","DEF","",84.2857,78,"5524",13,99,"5524",-1.24514991264122,,,,-1.2451
"173","Steele","Sidebottom","COL","MID","",109.25,110,"189",13,100,"189",,0.593783387291814,,,0.5938
"501","Jack","Viney","MEL","MID","",112,118,"182",13,101,"182",,1.33258556054433,,,1.3326
"471","James","Harmes","MEL","MID","",64.4286,61,"9856",13,102,,,-3.93137992387983,,,-3.9314
"112","Jack","Martin","CAR","FWD","MID",95.375,96,"33301",13,103,"33301",,-0.699120415900083,,0.651227981419625,0.6512
"522","Shaun","Higgins","NTH","MID","",101.125,91.5,"186",13,104,"9856",,-1.11469663835462,,,-1.1147
"649","Hunter","Clark","STK","DEF","",82.125,86.5,"186",14,105,"186",-0.4874747980139,,,,-0.4875
"609","Shane","Edwards","RIC","DEF","MID",81.2,77,"33301",14,106,"33301",-1.3342881614209,-2.4537755773748,,,-1.3343
"653","Luke","Dunstan","STK","MID","",92,92,"9856",14,107,,,-1.06852150252634,,,-1.0685
"28","Wayne","Milera","ADE","DEF","MID",83,83,"182",14,108,,-0.799458668742795,-1.89967394743542,,,-0.7995
"633","Jayden","Short","RIC","DEF","",95.125,86,"189",14,109,"189",-0.532043922403742,,,,-0.532
"588","Connor","Rozee","PTA","FWD","",66.625,53,"5524",14,110,,,,,-3.38521211963174,-3.3852
"232","Andrew","Brayshaw","FRE","FWD","MID",102.25,95,"9806",14,111,"9806",,-0.791470687556647,,0.557357281395174,0.5574
"319","David","Swallow","GCS","MID","",84.8571,92,"9867",14,112,"9867",,-1.06852150252634,,,-1.0685
"370","Zach","Tuohy","GEE","DEF","",82.375,80.5,"9867",15,113,"9867",-1.02230429069201,,,,-1.0223
"807","Dom","Sheed","WCE","MID","",87.625,82,"9806",15,114,"9806",,-1.99202421909198,,,-1.992
"761","Bailey","Smith","WBD","FWD","MID",91.125,102.5,"5524",15,115,"5524",,-0.0988436501324162,,1.26138753157855,1.2614
"334","Luke","Dahlhaus","GEE","FWD","",70.1429,87,"189",15,116,,,,,-0.193608318800429,-0.1936
"278","Will","Brodie","GCS","MID","",36,36,"182",15,117,,,-6.24013671529393,,,-6.2401
"587","Tom","Rockliff","PTA","MID","",86.2,81,"9856",15,118,"33301",,-2.08437449074854,,,-2.0844
"767","Mitch","Wallis","WBD","FWD","MID",67.75,65.5,"33301",15,119,,,-3.51580370142529,,-2.21182836932611,-2.2118
"361","Joel","Selwood","GEE","MID","",94.8571,95,"186",15,120,"186",,-0.791470687556647,,,-0.7915
"783","Jack","Darling","WCE","FWD","",68.875,65.5,"186",16,121,,,,,-2.21182836932611,-2.2118
"763","Matthew","Suckling","WBD","DEF","",59,56,"33301",16,122,,-3.20619138579428,,,,-3.2062
"356","Brandan","Parfitt","GEE","FWD","MID",93.6667,98.5,"9856",16,123,"186",,-0.468244736758673,,0.88590473148075,0.8859
"747","Jason","Johannisen","WBD","DEF","",83.5,84,"182",16,124,"182",-0.710320419963111,,,,-0.7103
"207","Andrew","McGrath","ESS","MID","",98.8571,98,"189",16,125,"189",,-0.514419872586955,,,-0.5144
"657","Bradley","Hill","STK","MID","",56.875,57.5,"5524",16,126,,,-4.2546058746778,,,-4.2546
"591","Justin","Westhoff","PTA","FWD","MID",70.375,66,"9806",16,127,,,-3.469628565597,,-2.16489301931389,-2.1649
"671","Tim","Membrey","STK","FWD","",65,61.5,"9867",16,128,,,,,-2.58731116942391,-2.5873
"406","Heath","Shaw","GWS","DEF","",76.875,70,"9867",17,129,,-1.95825590287869,,,,-1.9583
"699","George","Hewett","SYD","MID","",77.5,80,"9806",17,130,,,-2.17672476240511,,,-2.1767
"713","Tom","Papley","SYD","FWD","",91.625,93,"5524",17,131,"5524",,,,0.369615881346273,0.3696
"556","Ryan","Burton","PTA","DEF","",76.5,82.5,"189",17,132,,-0.844027793132638,,,,-0.844
"486","Tom","McDonald","MEL","FWD","",51.6,52,"182",17,133,,,,,-3.47908281965619,-3.4791
"51","Jarrod","Berry","BRL","MID","",99.25,92,"9856",17,134,"189",,-1.06852150252634,,,-1.0685
"82","Mitch","Robinson","BRL","MID","",88,82.5,"33301",17,135,"33301",,-1.9458490832637,,,-1.9458
"808","Brad","Sheppard","WCE","DEF","",93.125,96.5,"186",17,136,"186",0.403907689782945,,,,0.4039
"343","Tom","Hawkins","GEE","FWD","",99.5,95.5,"186",18,137,"186",,,,0.604292631407399,0.6043
"59","Cameron","Ellis-Yolmen","BRL","MID","",59.3333,73,"33301",18,138,,,-2.82317666400106,,,-2.8232
"22","Tom","Lynch","ADE","FWD","",74.125,74,"9856",18,139,"182",,,,-1.41392741911828,-1.4139
"675","Dylan","Roberton","STK","DEF","",26,26,"182",18,140,,-5.88033884918481,,,,-5.8803
"677","Paddy","Ryder","STK","RUC","FWD",99,84,"189",18,141,"9856",,,-1.14371286930813,-0.47522041887378,-0.4752
"97","Ed","Curnow","CAR","MID","",93.875,93,"5524",18,142,"5524",,-0.976171230869775,,,-0.9762
"536","Jy","Simpkin","NTH","FWD","MID",101.25,111.5,"9806",18,143,"9806",,0.73230879477666,,2.10622383179861,2.1062
"468","Bayley","Fritsch","MEL","DEF","FWD",56.7143,58,"9867",18,144,,-3.02791488823491,,,-2.91585861950949,-2.9159
"218","Adam","Saad","ESS","DEF","",102.714,100,"9867",19,145,"9867",0.715891560511841,,,,0.7159
"656","Dan","Hannebery","STK","MID","",70.6,73,"9806",19,146,,,-2.82317666400106,,,-2.8232
"484","Steven","May","MEL","DEF","",85.8571,90,"5524",19,147,,-0.175490927285004,,,,-0.1755
"353","Quinton","Narkle","GEE","MID","",64.2,71,"189",19,148,,,-3.00787720731418,,,-3.0079
"323","Jarrod","Witts","GCS","RUC","",98.75,90,"182",19,149,"182",,,-0.854267081644912,,-0.8543
"635","Sydney","Stack","RIC","DEF","",48.5,46.5,"9856",19,150,,-4.05300474920128,,,,-4.053
"88","Alex","Witherden","BRL","DEF","",41,41,"33301",19,151,,-4.54326511748954,,,,-4.5433
"231","Connor","Blakely","FRE","DEF","",0,0,"186",19,152,,-8.19793331745661,,,,-8.1979
"131","Kade","Simpson","CAR","DEF","",74.5,76,"186",20,153,,-1.42342641020059,,,,-1.4234
"601","Josh","Caddy","RIC","FWD","MID",65.5,70,"33301",20,154,,,-3.10022747897075,,-1.78941021921609,-1.7894
"289","Brayden","Fiorini","GCS","MID","",66,71,"9856",20,155,,,-3.00787720731418,,,-3.0079
"802","Jack","Redden","WCE","MID","",72,69.5,"182",20,156,,,-3.14640261479903,,,-3.1464
"797","Nic","Naitanui","WCE","RUC","",94.875,86,"189",20,157,"9867",,,-1.04723094008706,,-1.0472
"235","Adam","Cerra","FRE","DEF","",81.625,75,"5524",20,158,"186",-1.51256465898027,,,,-1.5126
"268","Darcy","Tucker","FRE","FWD","MID",64.75,77.5,"9806",20,159,"9806",,-2.40760044154652,,-1.08537996903271,-1.0854
"208","Conor","McKenna","ESS","DEF","",76,87,"9867",20,160,"5524",-0.442905673624057,,,,-0.4429
"388","Jackson","Hately","GWS","MID","",65.6,56,"9867",21,161,,,-4.39313128216265,,,-4.3931
"307","Touk","Miller","GCS","MID","",113.875,111,"9806",21,162,"9806",,0.686133658948378,,,0.6861
"719","James","Rowbottom","SYD","FWD","MID",71.5,76,"5524",21,163,"9806",,-2.54612584903136,,-1.22618601906938,-1.2262
"597","Liam","Baker","RIC","DEF","FWD",72.8571,68,"189",21,164,,-2.13653240043806,,,-1.97715161926499,-1.9772
"413","Callan","Ward","GWS","MID","",88.5,87.5,"182",21,165,,,-1.48409772498088,,,-1.4841
"577","Jarrod","Lienert","PTA","DEF","",38,38,"9856",21,166,,-4.8106798638286,,,,-4.8107
"256","David","Mundy","FRE","MID","",77.2857,73,"33301",21,167,,,-2.82317666400106,,,-2.8232
"115","Marc","Murphy","CAR","MID","",81.125,85,"186",21,168,"9867",,-1.71497340412229,,,-1.715
"565","Brad","Ebert","PTA","FWD","",96.5714,104,"186",22,169,"5524",,,,1.40219358161523,1.4022
"691","Oliver","Florent","SYD","MID","",89.125,96,"33301",22,170,,,-0.699120415900083,,,-0.6991
"175","Jaidyn","Stephenson","COL","FWD","",69.6667,70.5,"9856",22,171,,,,,-1.74247486920386,-1.7425
"395","Sam","Jacobs","GWS","RUC","",89.75,84.5,"182",22,172,,,,-1.11959238700286,,-1.1196
"586","Sam","Powell-Pepper","PTA","FWD","MID",72.875,74.5,"189",22,173,,,-2.68465125651621,,-1.36699206910606,-1.367
"228","James","Aish","FRE","DEF","",75.125,74.5,"5524",22,174,"33301",-1.55713378337011,,,,-1.5571
