feed_id,player_id,first_name,last_name,team_abbrev,pos,pos2,projected_points,points,user_team_id,picked,position,sc_team,sc_coach,round,year
1004880,718,Ben,Ronke,SYD,FWD,,50,,,,,,,8,2020
281280,476,Neville,Jetta,MEL,DEF,,44,0,,,,,,8,2020
1002259,118,Lochie,O'Brien,CAR,MID,,40,,,,,,,8,2020
1003029,174,Brayden,Sier,COL,MID,,41,,,,,,,8,2020
261214,806,Will,Schofield,WCE,DEF,,31,,,,,,,8,2020
1008312,132,Liam,Stocker,CAR,DEF,,42,,,,,,,8,2020
293035,141,Tim,Broomhead,COL,FWD,MID,51,,,,,,,8,2020
1003547,423,Conor,Glass,HAW,DEF,,60,,,,,,,8,2020
290228,15,Kyle,Hartigan,ADE,DEF,,55,51,,,,,,8,2020
1002253,566,Kane,Farrell,PTA,FWD,,67,61,,,,,,8,2020
298290,124,Marc,Pittonet,CAR,RUC,,84,53,9867,false,RUC,Bad Boys For Fyfe,James,8,2020
1002231,624,Patrick,Naish,RIC,MID,,73,42,,,,,,8,2020
280471,457,Ben,Stratton,HAW,DEF,,39,22,,,,,,8,2020
1010841,158,Jack,Madgen,COL,DEF,,54,,,,,,,8,2020
1006058,535,Bailey,Scott,NTH,MID,FWD,43,103,,,,,,8,2020
992374,645,Dan,Butler,STK,FWD,,86,87,33301,false,FWD,"What's Up, Doch?",Jordan,8,2020
1002282,497,Charlie,Spargo,MEL,FWD,,43,,,,,,,8,2020
998414,812,Daniel,Venables,WCE,FWD,,38,,,,,,,8,2020
1006127,769,Rhylee,West,WBD,FWD,,64,,,,,,,8,2020
1007238,410,Jake,Stein,GWS,DEF,,53,,,,,,,8,2020
250548,820,Lynden,Dunn,COL,DEF,,60,,,,,,,8,2020
1005547,283,Joshua,Corbett,GCS,FWD,,29,,,,,,,8,2020
1006144,301,Ben,King,GCS,FWD,,73,20,,,,,,8,2020
294508,379,Aidan,Corr,GWS,DEF,,92,74,9806,false,DEF,HoweIMetYourMother,Lester,8,2020
290733,589,Cameron,Sutcliffe,PTA,FWD,,52,,,,,,,8,2020
1005013,137,Flynn,Appleby,COL,DEF,,40,,,,,,,8,2020
291891,224,Jacob,Townsend,ESS,FWD,,45,49,,,,,,8,2020
1000908,32,Myles,Poholke,ADE,FWD,,51,,,,,,,8,2020
293255,299,George,Horlin-Smith,GCS,DEF,MID,38,,,,,,,8,2020
994410,754,Brad,Lynch,WBD,DEF,,40,,,,,,,8,2020
998390,434,Changkuoth,Jiath,HAW,DEF,,68,,,,,,,8,2020
990548,667,Jonathon,Marsh,STK,DEF,,51,,,,,,,8,2020
1002228,339,Lachie,Fogarty,GEE,MID,,48,76,,,,,,8,2020
998321,568,Joel,Garner,PTA,DEF,,51,,,,,,,8,2020
1004909,772,Lachlan,Young,WBD,DEF,,41,63,,,,,,8,2020
1004286,399,Zac,Langdon,GWS,FWD,,52,35,,,,,,8,2020
298474,814,Francis,Watson,WCE,DEF,,67,,,,,,,8,2020
1008190,196,Brayden,Ham,ESS,FWD,MID,59,39,,,,,,8,2020
1002354,245,Stefan,Giro,FRE,MID,,38,,,,,,,8,2020
1000072,164,John,Noble,COL,DEF,,61,46,,,,,,8,2020
998126,551,Joe,Atley,PTA,MID,,52,,,,,,,8,2020
293603,580,Sam,Mayes,PTA,MID,,73,39,,,,,,8,2020
281075,320,Rory,Thompson,GCS,DEF,,53,,,,,,,8,2020
1004863,62,Mitchell,Hinge,BRL,MID,,65,,,,,,,8,2020
1003520,661,Darragh,Joyce,STK,DEF,,23,,,,,,,8,2020
1000860,262,Lachlan,Schultz,FRE,FWD,,44,47,,,,,,8,2020
1006087,292,Caleb,Graham,GCS,DEF,,49,,,,,,,8,2020
1006106,467,Kyle,Dunkley,MEL,FWD,MID,48,,,,,,,8,2020
296209,479,Kade,Kolodjashnij,MEL,MID,,57,,,,,,,8,2020
998212,213,Kobe,Mutch,ESS,MID,,41,,,,,,,8,2020
1003546,496,Joel,Smith,MEL,DEF,,48,,,,,,,8,2020
1009208,314,Matthew,Rowell,GCS,MID,,102,,,,,,,8,2020
1004356,775,Brayden,Ainsworth,WCE,MID,,55,21,,,,,,8,2020
1009199,275,Noah,Anderson,GCS,MID,,70,63,,,,,,8,2020
1004894,508,Aiden,Bonar,NTH,MID,FWD,49,,,,,,,8,2020
1004989,664,Doulton,Langlands,STK,MID,,53,,,,,,,8,2020
997230,38,Tyson,Stengle,ADE,FWD,,48,83,,,,,,8,2020
1006276,610,Derek,Eggmolesse-Smith,RIC,DEF,,72,45,33301,true,DEF,"What's Up, Doch?",Jordan,8,2020
1001449,470,Mitch,Hannan,MEL,FWD,,80,23,,,,,,8,2020
290246,510,Tom,Campbell,NTH,RUC,FWD,57,,,,,,,8,2020
1009399,475,Luke,Jackson,MEL,RUC,,55,56,,,,,,8,2020
1005330,466,Kade,Chandler,MEL,FWD,,60,,,,,,,8,2020
1000061,604,Callum,Coleman-Jones,RIC,RUC,FWD,60,,,,,,,8,2020
1009253,371,Lachlan,Ash,GWS,DEF,MID,52,47,,,,,,8,2020
280336,248,Stephen,Hill,FRE,DEF,FWD,64,,,,,,,8,2020
295964,42,Patrick,Wilson,ADE,MID,,42,,,,,,,8,2020
