feed_id,player_id,first_name,last_name,team_abbrev,pos,pos2,points,user_team_id,picked,position,round,year,teamname,coach
294077,429,Michael,Hartley,HAW,DEF,,,,,,2,2020,,
298298,798,Jackson,Nelson,WCE,DEF,,37,,,,2,2020,,
1006203,17,Chayce,Jones,ADE,FWD,,52,,,,2,2020,,
294518,189,Joe,Daniher,ESS,FWD,,,,,,2,2020,,
998106,11,Jordan,Gallucci,ADE,FWD,,,,,,2,2020,,
1008198,705,Tom,McCartin,SYD,FWD,,40,,,,2,2020,,
1007124,444,Conor,Nash,HAW,FWD,,,,,,2,2020,,
997316,773,Lewis,Young,WBD,DEF,,,,,,2,2020,,
992472,485,Oscar,McDonald,MEL,DEF,,,,,,2,2020,,
998180,229,Bailey,Banfield,FRE,FWD,,65,,,,2,2020,,
993946,18,Ben,Keays,ADE,FWD,,39,,,,2,2020,,
291947,774,Brendon,Ah Chee,WCE,MID,,12,,,,2,2020,,
1000068,280,Christopher,Burgess,GCS,DEF,,,,,,2,2020,,
1003203,707,Hayden,McLean,SYD,RUC,,,,,,2,2020,,
298211,340,Darcy,Fort,GEE,FWD,,,,,,2,2020,,
1008280,759,Ed,Richards,WBD,FWD,MID,68,,,,2,2020,,
298277,743,Billy,Gowers,WBD,FWD,,22,,,,2,2020,,
297255,113,Mitch,McGovern,CAR,FWD,,56,,,,2,2020,,
1002312,49,Zac,Bailey,BRL,DEF,MID,82,,,,2,2020,,
294013,302,Sean,Lemmens,GCS,FWD,MID,81,,,,2,2020,,
1008855,461,Oskar,Baker,MEL,MID,,,,,,2,2020,,
1008089,167,Isaac,Quaynor,COL,DEF,,,,,,2,2020,,
295313,748,Lin,Jong,WBD,MID,,89,,,,2,2020,,
280933,675,Dylan,Roberton,STK,DEF,,,,,,2,2020,,
1005054,147,Josh,Daicos,COL,MID,,126,,,,2,2020,,
992054,762,Roarke,Smith,WBD,FWD,MID,,,,,2,2020,,
1002245,598,Noah,Balta,RIC,RUC,FWD,,,,,2,2020,,
280722,318,Zac,Smith,GCS,RUC,,,,,,2,2020,,
